,fsq_id,categories,chains,distance,link,name,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.formatted_address,location.locality,location.postcode,location.region,location.neighborhood,timezone,location.cross_street,location.address_extended
0,ee7f1d0e7dd14596e1641cd1,Residential Building,[],238,/v3/places/ee7f1d0e7dd14596e1641cd1,Grace's Places,43.674504,-79.291539,43.674504,-79.291539,29 Pine Cres,CA,"29 Pine Cres, Toronto ON M4E 1L3",Toronto,M4E 1L3,ON,,,,
1,0dca58b72e5e43ff9adf4b83,"Property Management Office,Residential Building",[],327,/v3/places/0dca58b72e5e43ff9adf4b83,Harding & King-Rental Hot Line,43.677955,-79.289603,43.677955,-79.289603,281 Beech Ave,CA,"281 Beech Ave, Toronto ON M4E 3J1",Toronto,M4E 3J1,ON,The Beach,,,
0,4d9b8acff41ba14388aae2b3,"Property Management Office,Real Estate Agency,Residential Building",[],505,/v3/places/4d9b8acff41ba14388aae2b3,Morguard Residential,43.702139,-79.345257,43.702139,-79.345257,35 Thorncliffe Park Dr,CA,"35 Thorncliffe Park Dr, East York ON M4H 1J3",East York,M4H 1J3,ON,,America/Toronto,,
1,4f608cdceb414ddd5c75da1f,Residential Building,[],133,/v3/places/4f608cdceb414ddd5c75da1f,Leaside Park,43.704244,-79.348773,43.704244,-79.348773,11 Thorncliffe Park Dr,CA,"11 Thorncliffe Park Dr, East York ON M4H 1P3",East York,M4H 1P3,ON,,,,
2,06c98175793b43ca2e7d0564,"Real Estate Service,Residential Building",[],133,/v3/places/06c98175793b43ca2e7d0564,Leaside Park Condominium Management Offc,43.704244,-79.348773,43.704244,-79.348773,11 Thorncliffe Park Dr,CA,"11 Thorncliffe Park Dr, East York ON M4H 1P3",East York,M4H 1P3,ON,East York,,,
3,f4908eaefbd5442151e2de25,"Property Management Office,Residential Building",[],142,/v3/places/f4908eaefbd5442151e2de25,Greater Toronto Property Management,43.70594,-79.350961,43.70594,-79.350961,2 Thorncliffe Park Dr,CA,"2 Thorncliffe Park Dr, East York ON M4H 1H2",East York,M4H 1H2,ON,East York,,,
4,f74a9e831eb54a9de048d191,"Real Estate Agency,Residential Building",[],150,/v3/places/f74a9e831eb54a9de048d191,Jockey Club Condominium Security Desk,43.704099,-79.350014,43.704099,-79.350014,21 Overlea Blvd,CA,"21 Overlea Blvd, Toronto ON M4H 1P2",Toronto,M4H 1P2,ON,,,,
5,8bb05ac082e2496e1610e852,"Real Estate Agency,Residential Building",[],210,/v3/places/8bb05ac082e2496e1610e852,Jockey Club Condominium Mgmt,43.703764,-79.350757,43.703764,-79.350757,21 Overlea Blvd,CA,"21 Overlea Blvd, Toronto ON M4H 1P2",Toronto,M4H 1P2,ON,East York,,,
6,42ccc0b203b54688e57f0f2a,Residential Building,[],213,/v3/places/42ccc0b203b54688e57f0f2a,Chapel Court Apartments,43.703998,-79.347518,43.703998,-79.347518,18 Thorncliffe Park Dr,CA,"18 Thorncliffe Park Dr, East York ON M4H 1N7",East York,M4H 1N7,ON,East York,,,
7,6415ec70a1544f12cfdab7d7,"Real Estate Service,Residential Building",[],278,/v3/places/6415ec70a1544f12cfdab7d7,Mtcc 1213,43.703228,-79.351186,43.703228,-79.351186,1 Leaside Park Dr,CA,"1 Leaside Park Dr, Toronto ON M4H 1R1",Toronto,M4H 1R1,ON,East York,,,
